date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:10	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:10%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-bg_glass_75_d0e5f5_1x400.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-bg_glass_75_d0e5f5_1x400.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:10	307332/307332	---M--	200	added ('OK')	application/octet-stream	etag:%225c3a6545-4b084%22	https://colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon.eot?10si43	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon1a44.eot	(from https://colorlib.com/preview/theme/homespace/fonts/icomoon/style.css)
14:24:11	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:11%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:11	307244/307244	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c3a6557-4b02c%22	https://colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon.woff?10si43	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon1a44.woff	(from https://colorlib.com/preview/theme/homespace/fonts/icomoon/style.css)
14:24:12	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:12%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:12	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:13%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_469bdd_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_469bdd_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:14	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:14%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_d8e7f3_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_d8e7f3_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:15	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c3a6564-e45ad%22	https://colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon.svg?10si43	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/fonts/icomoon/fonts/icomoon1a44.svg	(from https://colorlib.com/preview/theme/homespace/fonts/icomoon/style.css)
14:24:15	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:15%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_6da8d5_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_6da8d5_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
14:24:16	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2008:54:17%20GMT	https://colorlib.com/preview/theme/homespace/css/images/ui-icons_217bc0_256x240.png	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/css/images/ui-icons_217bc0_256x240.png	(from https://colorlib.com/preview/theme/homespace/css/jquery-ui.css)
